correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
Babubhai P Vaidya	1	murarji-vaidya	murarji vaidya	0.58	review
Thiru H K Ghazi	1	r-k-hazari	r k hazari	0.64	review
S K D Paliwal	1	s-k-patil	s k patil	0.64	review
the Officer in the Overdraft Department	1			0.00	no
Kanti Bora	1			0.00	no
Hansotia	1			0.00	no
Parmanad Kejriwal	1			0.00	no
Homi Mody	1	homi-mody	sir homi mody	0.82	review
Bateshwar Prasad Singh	1	bhanu-pratap-singh	bhanu pratap singh	0.65	review
Cental Bank of India	1			0.00	no
Basant Narain Singh	1	bhanu-pratap-singh	bhanu pratap singh	0.65	review
Raju surajyam	1			0.00	no
S R Mohan Das	1	r-m-mohan-rao	r m mohan rao	0.72	review
Paramchand Kejriwal	1			0.00	no
Shelat	1			0.00	no
Ashok Mehta	1	ashok-desai	ashok desai	0.73	review
Walchand & Co Pvt Ltd	1			0.00	no
General Secretary Swatantra Party	1			0.00	no
Charat Ram	1	h-narayan-rao	h narayan rao	0.61	review
Jimmy Mehta	1	anupam-mehta	anupam mehta	0.61	review
Khatau Makanji Spg & Wvg Co Ltd	1			0.00	no
Prabhu V Mehta	1	anupam-mehta	anupam mehta	0.62	review
K J Khambata	1			0.00	no
Khan Bahadur Framroze Mehta	1			0.00	no
G T Kamdar	1	bhimrao-ambedkar	ambedkar	0.45	review
D P Sethna	1	s-p-sathe	s p sathe	0.63	review
S Khambata	1			0.00	no
K V Verma	1	k-v-m-pai	k v m pai	0.67	review
Rajaji-The Economic Times	1			0.00	no
Rajaji-Indian Express	1			0.00	no
P K S Naraiyan	1	jayaprakash-narayan	jai prakash narayan	0.75	review
Sham Lal	1	sucheta-dalal	sucheta dalal	0.67	review
Chief Election Commissioner	1			0.00	no
M P Verma	1	s-v-raju	mr s v raju	0.60	review
K V K Sundaram	1	d-v-gundappa	d v gundappa	0.62	review
Field Organisation no-3	1			0.00	no
Field Organisation no-2	1			0.00	no
Prospective Candidates no-1	1			0.00	no
MP no-11	1	m-n-roy	m n roy	0.67	review
Field Organiser no-7	1			0.00	no
Field organiser no-6	1			0.00	no
MF no-10	1	m-n-roy	m n roy	0.67	review
P S Koppiker	1			0.00	no
Rekha Rajdopal	1			0.00	no
J Venkitesweran	1			0.00	no
the L R Sampath	1	thomas-robert-malthus	malthus	0.54	review
R Sampath	1	dr-na-swaminathan	dr na swaminathan	0.62	review
A G Noorani	1			0.00	no
