file	archive_id	date	year	date_flag	direction	correspondent_verbatim	thinker_id	resolution	genre	work_type_suggest
1138-Letter_to_Mr_Minoo_Masani_20-07-1977.pdf	1138	1977-07-20	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1139-Letter_to_Mr_Minoo_Masani_18-07-1977.pdf	1139	1977-07-18	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
114-Letter_to_Mr_J_B_Kripalani_03-03-1971.pdf	114	1971-03-03	1971		to	J B Kripalani		unresolved	letter	letter
1140-List_of_Invitees_For_the_Discussion_29-07-1977.pdf	1140	1977-07-29	1977							
1141-Letter_to_Girish_Munshi_29-04-1977.pdf	1141	1977-04-29	1977		to	Girish Munshi		unresolved	letter	letter
1142-Minutes_of_the_Meeting_of_the_National_Executive_28-04-1977.pdf	1142	1977-04-28	1977						minutes	minutes
1143-Letter_About_Meeting_of_Maharashtra_State_Council_20-04-1977.pdf	1143	1977-04-20	1977						letter	letter
1144-Letter_to_Girish_Munshi_15-04-1977.pdf	1144	1977-04-15	1977		to	Girish Munshi		unresolved	letter	letter
1145-Letter_to_the_Enforcement_Officer_11-04-1977.pdf	1145	1977-04-11	1977		to	the Enforcement Officer		unresolved	letter	letter
1146-Letter_to_SV_Raju_11-04-1977.pdf	1146	1977-04-11	1977		to	SV Raju	s-v-raju	resolved	letter	letter
1147-Letter_to_Mr_Minoo_Masani_08-04-1977.pdf	1147	1977-04-08	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1148-Letter_to_Girish_Munshi_08-04-1977.pdf	1148	1977-04-08	1977		to	Girish Munshi		unresolved	letter	letter
1149-Letter_to_Mr_Minoo_Masani_07-04-1977.pdf	1149	1977-04-07	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
115-Letter_to_Mr_Minoo_Masani_02-03-1971.pdf	115	1971-03-02	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
1150-Letter_to_SV_Raju_04-04-1977.pdf	1150	1977-04-04	1977		to	SV Raju	s-v-raju	resolved	letter	letter
1151-Letter_to_Girish_Munshi_04-04-1977.pdf	1151	1977-04-04	1977		to	Girish Munshi		unresolved	letter	letter
1152-Letter_to_Mr_Minoo_Masani_01-04-1977.pdf	1152	1977-04-01	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1153-Letter_to_Mr_Minoo_Masani_01-04-1977.pdf	1153	1977-04-01	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1154-Shake_Off_Fear_Strengthen_Democracy-Hindustani_Movement_31-01-1977.pdf	1154	1977-01-31	1977							
1155-Letter_to_Girish_Munshi_31-01-1977.pdf	1155	1977-01-31	1977		to	Girish Munshi		unresolved	letter	letter
1156-Telegram_to_M_R_Masam.pdf	1156				to	M R Masam		unresolved	telegram	telegram
1157-Letter_to_SriKumar_20-01-1977.pdf	1157	1977-01-20	1977		to	SriKumar		unresolved	letter	letter
1158-Telegram_to_Mr_Minoo_Masani_19-01-1977.pdf	1158	1977-01-19	1977		to	Minoo Masani	minoo-masani	resolved	telegram	telegram
1159-Manav_Nirman-Hindustani_Movement_10-01-1977.pdf	1159	1977-01-10	1977							
116-Letter_to_Mr_Minoo_Masani_01-03-1971.pdf	116	1971-03-01	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
1160-Letter_to_Mr_Minoo_Masani_30-11-1976.pdf	1160	1976-11-30	1976		to	Minoo Masani	minoo-masani	resolved	letter	letter
1161-Letter_to_Mr_Minoo_Masani_28-11-1976.pdf	1161	1976-11-28	1976		to	Minoo Masani	minoo-masani	resolved	letter	letter
1162-Letter_to_Mr_Minoo_Masani_18-10-1976.pdf	1162	1976-10-18	1976		to	Minoo Masani	minoo-masani	resolved	letter	letter
1163-Letter_from_V_S_Srikumar_17-09-1976.pdf	1163	1976-09-17	1976		from	V S Srikumar		unresolved	letter	letter
1164-Minutes_of_the_Meeting_of_the_National_Executive_of_the_Swatantra_Party_29-06-1976.pdf	1164	1976-06-29	1976						minutes	minutes
1165-Letter_to_Mr_Minoo_Masani_14-06-1976.pdf	1165	1976-06-14	1976		to	Minoo Masani	minoo-masani	resolved	letter	letter
1166-Letter_to_Mr_Minoo_Masani_28-05-1976.pdf	1166	1976-05-28	1976		to	Minoo Masani	minoo-masani	resolved	letter	letter
1167-Receipt_of_Donation_01-03-1976.pdf	1167	1976-03-01	1976							
1168-Circular_to_Party_Workers_11-02-1976.pdf	1168	1976-02-11	1976						circular	circular
1169-Meeting_of_the_National_Executive_and_the_National_General_Council_31-12-1975.pdf	1169	1975-12-31	1975							
117-Letter_to_Mr_Minoo_Masani_27-02-1971.pdf	117	1971-02-27	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
1170-Receipt_of_Donation_08-01-1976.pdf	1170	1976-01-08	1976							
1171-Letter_to_RS_Bharati_05-01-1976.pdf	1171	1976-01-05	1976		to	RS Bharati		unresolved	letter	letter
1172-Letter_to_Mr_Minoo_Masani_12-12-1975.pdf	1172	1975-12-12	1975		to	Minoo Masani	minoo-masani	resolved	letter	letter
1173-Receipt_of_Donation_02-11-1975.pdf	1173	1975-11-02	1975							
1174-Letter_to_Accounts_Officer_Revenue_Department_09-12-1975.pdf	1174	1975-12-09	1975		to	Accounts Officer Revenue Department		unresolved	letter	letter
1175-Rajaji_Jayanthi_Public_Meeting_08-12-1975.pdf	1175	1975-12-08	1975							
1176-Rajaji-Some_Vignettes-Swarajya_06-12-1975.pdf	1176	1975-12-06	1975							
1177-Letter_to_Mr_Minoo_Masani_03-11-1975.pdf	1177	1975-11-03	1975		to	Minoo Masani	minoo-masani	resolved	letter	letter
1178-Letter_to_Mr_Minoo_Masani_21-11-1975.pdf	1178	1975-11-21	1975		to	Minoo Masani	minoo-masani	resolved	letter	letter
1179-Telegram_to_Mr_Minoo_Masani_04-12-1975.pdf	1179	1975-12-04	1975		to	Minoo Masani	minoo-masani	resolved	telegram	telegram
118-Letter_to_Mr_Minoo_Masani_26-02-1971.pdf	118	1971-02-26	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
1180-Confirmation_copy_for_Flight.pdf	1180									
1181-Telegram_to_MR_Mathani_05-10-1975.pdf	1181	1975-10-05	1975		to	Mathani		unresolved	telegram	telegram
1182-Letter_to_Raju_28-11-1975.pdf	1182	1975-11-28	1975		to	Raju		unresolved	letter	letter
1183-Letter_from_Mr_Minoo_Masani.pdf	1183				from	Minoo Masani	minoo-masani	resolved	letter	letter
1184-Letter_to_Mr_Minoo_Masani_26-11-1975.pdf	1184	1975-11-26	1975		to	Minoo Masani	minoo-masani	resolved	letter	letter
1185-Mr_Basudu_Ray_of_Statesman_who_was_Leaving_for_Calcutta_26-11-1975.pdf	1185	1975-11-26	1975							
1186-Letter_to_Mr_Minoo_Masani_12-11-1975.pdf	1186	1975-11-12	1975		to	Minoo Masani	minoo-masani	resolved	letter	letter
1187-Receipt_of_Donation_06-11-1975.pdf	1187	1975-11-06	1975							
1188-Meeting_of_the_State_Council_of_the_Swatantra_party_30-10-1975.pdf	1188	1975-10-30	1975							
1189-Receipt_of_Donation_No-119_08-10-1975.pdf	1189	1975-10-08	1975							
119-Letter_to_Mr_Minoo_Masani_26-02-1971.pdf	119	1971-02-26	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
1190-Receipt_of_Donation_No-118_12-09-1975.pdf	1190	1975-09-12	1975							
1191-Receipt_of_Donation_No-114_12-08-1975.pdf	1191	1975-08-12	1975							
1192-Receipt_of_Donation_No-113_14-07-1975.pdf	1192	1975-07-14	1975							
1193-Receipt_of_Donation_No-111_16-05-1975.pdf	1193	1975-05-16	1975							
1194-Meeting_of_the_National_Executive_Committee_09-04-1975.pdf	1194	1975-04-09	1975							
1195-Letter_to_N_Dandekar_27-05-1975.pdf	1195	1975-05-27	1975		to	N Dandekar	n-dandekar	resolved	letter	letter
1196-With_the_Compliments_of_N_Dandeker_22-05-1975.pdf	1196	1975-05-22	1975							
1197-Letter_to_Shaha_Janand_Singh_23-05-1975.pdf	1197	1975-05-23	1975		to	Shaha Janand Singh		unresolved	letter	letter
1198-Letter_from_Abhay_Anand.pdf	1198				from	Abhay Anand		unresolved	letter	letter
1199-Circular_No-322_01-05-1975.pdf	1199	1975-05-01	1975						circular	circular
12-Letter_to_Mr_Minoo_Masani_17-03-1971.pdf	12	1971-03-17	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
