file	archive_id	pages	bytes	text_layer	ocr_quality	chars_per_page	word_hit	junk_ratio	dpi	colour	separation	legibility	ink_pct
1154-Shake_Off_Fear_Strengthen_Democracy-Hindustani_Movement_31-01-1977.pdf	1154	3	632729	none	none	0.0	0.0	0.0	128	n	84.2	weak	9.0
1155-Letter_to_Girish_Munshi_31-01-1977.pdf	1155	5	1275241	none	none	0.0	0.0	0.0	128	y	104.2	adequate	15.1
1156-Telegram_to_M_R_Masam.pdf	1156	1	132896	none	none	0.0	0.0	0.0	128	y	86.8	weak	11.1
1157-Letter_to_SriKumar_20-01-1977.pdf	1157	1	86124	none	none	0.0	0.0	0.0	128	n	92.8	adequate	2.9
1158-Telegram_to_Mr_Minoo_Masani_19-01-1977.pdf	1158	1	130093	none	none	0.0	0.0	0.0	128	y	97.8	adequate	9.4
1159-Manav_Nirman-Hindustani_Movement_10-01-1977.pdf	1159	2	617378	none	none	0.0	0.0	0.0	128	n	82.6	weak	15.5
116-Letter_to_Mr_Minoo_Masani_01-03-1971.pdf	116	1	237326	none	none	0.0	0.0	0.0	128	y	79.9	weak	10.8
1160-Letter_to_Mr_Minoo_Masani_30-11-1976.pdf	1160	3	481180	none	none	0.0	0.0	0.0	128	n	40.0	faint	22.3
1161-Letter_to_Mr_Minoo_Masani_28-11-1976.pdf	1161	6	768297	none	none	0.0	0.0	0.0	128	y	75.5	weak	9.5
1162-Letter_to_Mr_Minoo_Masani_18-10-1976.pdf	1162	5	810837	none	none	0.0	0.0	0.0	128	y	111.9	adequate	9.0
1163-Letter_from_V_S_Srikumar_17-09-1976.pdf	1163	1	116379	none	none	0.0	0.0	0.0	128	y	76.8	weak	8.0
1164-Minutes_of_the_Meeting_of_the_National_Executive_of_the_Swatantra_Party_29-06-1976.pdf	1164	2	473799	none	none	0.0	0.0	0.0	128	n	77.4	weak	11.6
1165-Letter_to_Mr_Minoo_Masani_14-06-1976.pdf	1165	2	260085	none	none	0.0	0.0	0.0	128	y	100.5	adequate	28.0
1166-Letter_to_Mr_Minoo_Masani_28-05-1976.pdf	1166	2	302564	none	none	0.0	0.0	0.0	128	y	104.7	adequate	28.5
1167-Receipt_of_Donation_01-03-1976.pdf	1167	1	60931	none	none	0.0	0.0	0.0	128	y	105.9	adequate	7.0
1168-Circular_to_Party_Workers_11-02-1976.pdf	1168	3	570716	none	none	0.0	0.0	0.0	128	n	62.2	weak	17.0
1169-Meeting_of_the_National_Executive_and_the_National_General_Council_31-12-1975.pdf	1169	2	559351	none	none	0.0	0.0	0.0	128	n	69.1	weak	13.3
117-Letter_to_Mr_Minoo_Masani_27-02-1971.pdf	117	1	145909	none	none	0.0	0.0	0.0	128	y	83.7	weak	4.2
1170-Receipt_of_Donation_08-01-1976.pdf	1170	1	62402	none	none	0.0	0.0	0.0	128	y	102.0	adequate	7.4
1171-Letter_to_RS_Bharati_05-01-1976.pdf	1171	1	106865	none	none	0.0	0.0	0.0	128	n	119.5	adequate	5.8
1172-Letter_to_Mr_Minoo_Masani_12-12-1975.pdf	1172	1	88061	none	none	0.0	0.0	0.0	128	y	64.3	weak	6.3
1173-Receipt_of_Donation_02-11-1975.pdf	1173	1	59783	none	none	0.0	0.0	0.0	128	y	108.7	adequate	6.9
1174-Letter_to_Accounts_Officer_Revenue_Department_09-12-1975.pdf	1174	1	163458	none	none	0.0	0.0	0.0	128	y	148.2	strong	13.1
