# Thinker dedup analysis input (461 thinkers)
# Format: slug | canonical | refs | bio_source | also_known_as (semicolon-sep)
# Generated by /tmp/build_thinker_list.py

milovan-djilas  |  Milovan Djilas  |  3  |  unknown  |  -
milton-friedman  |  Milton Friedman  |  25  |  unknown  |  -
minoo-masani  |  Minoo Masani  |  55  |  unknown  |  मीनू मसानी
minoo-shroff  |  Minoo Shroff  |  14  |  unknown  |  -
minoo-shroff-and-hd-shourie  |  Minoo Shroff And HD Shourie  |  0  |  unknown  |  -
mithan-tata-lam  |  Mithan Tata Lam  |  3  |  unknown  |  Mithan Lam; Mithan Tata; मीठन टाटा लाम
morarji-desai  |  Morarji Desai  |  19  |  unknown  |  -
mr-masani  |  MR Masani  |  5  |  unknown  |  -
mr-mayya  |  MR Mayya  |  1  |  unknown  |  -
ms-seetha  |  Seetha  |  3  |  unknown  |  Ms. Seetha
mukesh-adenwala  |  Mukesh Adenwala  |  2  |  unknown  |  -
mukesh-ambani  |  Mukesh D. Ambani  |  1  |  ai_drafted_stub  |  -
mukund-rajan  |  Dr. Mukund Rajan  |  2  |  ai_drafted_stub  |  -
murarji-vaidya  |  Murarji Vaidya  |  20  |  unknown  |  -
muthulakshmi-reddi  |  Dr. Muthulakshmi Reddi  |  1  |  unknown  |  Muthulakshmi Reddi; S. Muthulakshmi Reddy; मुथुलक्ष्मी रेड्डी
n-c-mehta  |  N. C. Mehta  |  2  |  ai_drafted_stub  |  -
n-dandekar  |  N. Dandekar  |  6  |  ai_drafted_stub  |  -
n-das  |  N. Das  |  0  |  unknown  |  Dr. N. DAS, I.C.S. (Retd.); Dr. N. DAS I.C.S. (Retd.)
n-g-ranga  |  Acharya N. G. Ranga  |  8  |  ai_drafted_stub  |  -
n-n-pai  |  N. N. Pai  |  2  |  ai_drafted_stub  |  -
n-s-ramaswamy  |  Prof. N. S. Ramaswamy  |  1  |  ai_drafted_stub  |  -
n-vittal  |  N. Vittal  |  10  |  unknown  |  Vittal; N Vittal
nadir-godrej  |  Nadir Godrej  |  0  |  unknown  |  -
nani-palkhivala  |  Nani Palkhivala  |  65  |  unknown  |  N. A. Palkhivala; NA Palkhivala; Nani A. Palkhivala; नानी पालखीवाला
nani-palkhiwala  |  Nani Palkhiwala  |  0  |  unknown  |  -
napoleon-bonaparte  |  Napoleon Bonaparte  |  1  |  unknown  |  Napoleon; नेपोलियन; नेपोलियन बोनापार्ट
narasimha-rao  |  P. V. Narasimha Rao  |  5  |  unknown  |  Narasimha Rao; PV Narasimha Rao; P.V. Narasimha Rao
narayan-mahadev-paramananda  |  Narayan Mahadev Paramananda  |  1  |  unknown  |  -
narayan-varma  |  Narayan K. Varma  |  1  |  unknown  |  Mr. Narayan Varma; Narayan Varma
narayana-aiyar  |  Narayana Aiyar  |  0  |  unknown  |  -
naval-h-tata  |  Naval H. Tata  |  4  |  ai_drafted_stub  |  -
